movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
the golden compass,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy
king kong,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance
titanic,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance
captain america: civil war,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi
battleship,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller
jurassic world,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller
skyfall,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller
spider-man 2,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance
iron man 3,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi
alice in wonderland,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy
x-men: the last stand,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller
monsters university,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy
transformers: revenge of the fallen,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi
transformers: age of extinction,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi
oz the great and powerful,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy
the amazing spider-man 2,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi
tron: legacy,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi
cars 2,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport
green lantern,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi
toy story 3,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy
terminator salvation,McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi
furious 7,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller
world war z,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller
x-men: days of future past,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller
star trek into darkness,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi
jack the giant slayer,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy
the great gatsby,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance
prince of persia: the sands of time,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance
pacific rim,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi
transformers: dark of the moon,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi
indiana jones and the kingdom of the crystal skull,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy
the good dinosaur,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy
brave,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy
star trek beyond,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller
wall·e,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi
rush hour 3,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller
2012,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi
a christmas carol,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy
jupiter ascending,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi
the legend of tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance
"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy
x-men: apocalypse,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi
the dark knight,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller
up,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family
monsters vs. aliens,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi
iron man,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi
hugo,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery
wild wild west,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western
the mummy: tomb of the dragon emperor,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller
suicide squad,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi
evan almighty,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy
edge of tomorrow,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi
waterworld,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller
g.i. joe: the rise of cobra,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller
inside out,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy
the jungle book,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy
iron man 2,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi
snow white and the huntsman,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy
maleficent,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance
dawn of the planet of the apes,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi
the lovers,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi
47 ronin,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy
captain america: the winter soldier,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi
shrek forever after,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy
tomorrowland,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi
big hero 6,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi
wreck-it ralph,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi
the polar express,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy
independence day: resurgence,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi
how to train your dragon,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy
terminator 3: rise of the machines,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi
guardians of the galaxy,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi
interstellar,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi
inception,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller
godzilla resurgence,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi
the hobbit: an unexpected journey,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
the fast and the furious,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller
the curious case of benjamin button,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance
x-men: first class,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi
the hunger games: mockingjay - part 2,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi
the sorcerer's apprentice,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy
poseidon,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller
alice through the looking glass,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy
shrek the third,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy
warcraft,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy
terminator genisys,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi
the chronicles of narnia: the voyage of the dawn treader,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy
pearl harbor,Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War
transformers,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi
alexander,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War
harry potter and the order of the phoenix,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery
harry potter and the goblet of fire,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery
hancock,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama
i am legend,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi
charlie and the chocolate factory,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy
ratatouille,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy
batman begins,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure
madagascar: escape 2 africa,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family
night at the museum: battle of the smithsonian,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy
x-men origins: wolverine,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller
the matrix revolutions,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi
frozen,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical
the matrix reloaded,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi
thor: the dark world,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy
mad max: fury road,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller
angels & demons,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller
thor,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy
bolt,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family
g-force,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi
wrath of the titans,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy
dark shadows,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror
mission: impossible - rogue nation,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller
the wolfman,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller
the legend of tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance
bee movie,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family
kung fu panda 2,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family
the last airbender,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy
mission: impossible iii,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller
white house down,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller
mars needs moms,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi
flushed away,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family
pan,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy
mr. peabody & sherman,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi
troy,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure
madagascar 3: europe's most wanted,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family
die another day,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller
ghostbusters,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi
armageddon,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller
men in black ii,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi
beowulf,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy
kung fu panda 3,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family
mission: impossible - ghost protocol,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller
rise of the guardians,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy
fun with dick and jane,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime
the last samurai,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War
exodus: gods and kings,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama
star trek,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi
spider-man,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance
how to train your dragon 2,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy
gods of egypt,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy
stealth,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller
watchmen,Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi
lethal weapon 4,Richard Donner,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller
hulk,Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi
g.i. joe: retaliation,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller
sahara,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Action Adventure Comedy Thriller
final fantasy: the spirits within,Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi
captain america: the first avenger,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,Action Adventure Sci-Fi
the world is not enough,Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller
master and commander: the far side of the world,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War
the twilight saga: breaking dawn - part 2,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance
happy feet 2,George Miller,Robin Williams,Brad Pitt,Common,Animation Comedy Family Musical
the incredible hulk,Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,Action Adventure Sci-Fi
miami vice            ,unknown,Don Johnson,Philip Michael Thomas,John Diehl,Action Crime Drama Mystery Thriller
the bfg,Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure Family Fantasy
the revenant,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western
turbo,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure Animation Comedy Family Sport
rango,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Adventure Animation Comedy Family Western
penguins of madagascar,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure Animation Comedy Family
the bourne ultimatum,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Action Mystery Thriller
kung fu panda,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action Adventure Animation Comedy Family
ant-man,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Action Adventure Comedy Sci-Fi
the hunger games: catching fire,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller
the twilight saga: breaking dawn - part 2,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance
home,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi
war of the worlds,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure Sci-Fi Thriller
bad boys ii,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Action Comedy Crime Thriller
puss in boots,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Action Adventure Animation Comedy Family Fantasy
salt,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action Crime Mystery Thriller
noah,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Action Adventure Drama
the adventures of tintin,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Action Adventure Family Mystery
harry potter and the prisoner of azkaban,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure Family Fantasy Mystery
australia,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Adventure Drama Romance War
after earth,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Action Adventure Sci-Fi
dinosaur,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure Animation Family Thriller
harry potter and the deathly hallows: part ii,Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,Action Fantasy
night at the museum: secret of the tomb,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy
megamind,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Action Animation Comedy Family Sci-Fi
harry potter and the sorcerer's stone,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure Family Fantasy
r.i.p.d.,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Action Comedy Fantasy
godzilla resurgence,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi
pirates of the caribbean: the curse of the black pearl,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
harry potter and the deathly hallows: part i,Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy
the hunger games: mockingjay - part 1,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi Thriller
the da vinci code,Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery Thriller
rio 2,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure Animation Comedy Family Musical
x-men 2,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller
fast five,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Action Crime Thriller
sherlock holmes: a game of shadows,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action Adventure Crime Mystery Thriller
clash of the titans,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy
total recall,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi
the 13th warrior,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Action Adventure History
the bourne legacy,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Action Adventure Thriller
batman & robin,Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,Action
how the grinch stole christmas,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Comedy Family Fantasy
the day after tomorrow,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action Adventure Sci-Fi Thriller
mission: impossible ii,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Action Adventure Thriller
the perfect storm,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action Adventure Drama Thriller
fantastic 4: rise of the silver surfer,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Action Adventure Sci-Fi Thriller
life of pi,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,Adventure Drama Fantasy
ghost rider,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Action Fantasy Thriller
jason bourne,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,Action Thriller
charlie's angels: full throttle,McG,Demi Moore,Bernie Mac,Justin Theroux,Action Adventure Comedy Crime
prometheus,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,Adventure Mystery Sci-Fi
stuart little 2,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Adventure Animation Comedy Family Fantasy
elysium,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Action Drama Sci-Fi Thriller
the chronicles of riddick,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Action Adventure Sci-Fi Thriller
robocop,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller
speed racer,Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,Action Family Sport
how do you know,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Comedy Drama Romance
knight and day,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,Action Comedy Romance
oblivion,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Action Adventure Mystery Sci-Fi
star wars: episode iii - revenge of the sith,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi
star wars: episode ii - attack of the clones,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi
"monsters, inc.",Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Adventure Animation Comedy Family Fantasy
the wolverine,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action Adventure Sci-Fi Thriller
star wars: episode i - the phantom menace,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Action Adventure Fantasy Sci-Fi
the croods,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Adventure Animation Comedy Family Fantasy
asterix at the olympic games,Frédéric Forestier,Alain Delon,Santiago Segura,Vanessa Hessler,Adventure Comedy Family Fantasy
windtalkers,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,Action Drama War
